filename,length,label,melspectrogram_data
Data/genres_original/blues/blues.00000.wav,661794,blues,Data/melgram_numpy\blues.00000.npy
Data/genres_original/blues/blues.00001.wav,661794,blues,Data/melgram_numpy\blues.00001.npy
Data/genres_original/blues/blues.00002.wav,661794,blues,Data/melgram_numpy\blues.00002.npy
Data/genres_original/blues/blues.00003.wav,661794,blues,Data/melgram_numpy\blues.00003.npy
Data/genres_original/blues/blues.00004.wav,661794,blues,Data/melgram_numpy\blues.00004.npy
Data/genres_original/blues/blues.00005.wav,661794,blues,Data/melgram_numpy\blues.00005.npy
Data/genres_original/blues/blues.00006.wav,661794,blues,Data/melgram_numpy\blues.00006.npy
Data/genres_original/blues/blues.00007.wav,661794,blues,Data/melgram_numpy\blues.00007.npy
Data/genres_original/blues/blues.00008.wav,661794,blues,Data/melgram_numpy\blues.00008.npy
Data/genres_original/blues/blues.00009.wav,661794,blues,Data/melgram_numpy\blues.00009.npy
Data/genres_original/blues/blues.00010.wav,661794,blues,Data/melgram_numpy\blues.00010.npy
Data/genres_original/blues/blues.00011.wav,661794,blues,Data/melgram_numpy\blues.00011.npy
Data/genres_original/blues/blues.00012.wav,661794,blues,Data/melgram_numpy\blues.00012.npy
Data/genres_original/blues/blues.00013.wav,661794,blues,Data/melgram_numpy\blues.00013.npy
Data/genres_original/blues/blues.00014.wav,661794,blues,Data/melgram_numpy\blues.00014.npy
Data/genres_original/blues/blues.00015.wav,661794,blues,Data/melgram_numpy\blues.00015.npy
Data/genres_original/blues/blues.00016.wav,661794,blues,Data/melgram_numpy\blues.00016.npy
Data/genres_original/blues/blues.00017.wav,661794,blues,Data/melgram_numpy\blues.00017.npy
Data/genres_original/blues/blues.00018.wav,661794,blues,Data/melgram_numpy\blues.00018.npy
Data/genres_original/blues/blues.00019.wav,661794,blues,Data/melgram_numpy\blues.00019.npy
Data/genres_original/blues/blues.00020.wav,661794,blues,Data/melgram_numpy\blues.00020.npy
Data/genres_original/blues/blues.00021.wav,661794,blues,Data/melgram_numpy\blues.00021.npy
Data/genres_original/blues/blues.00022.wav,661794,blues,Data/melgram_numpy\blues.00022.npy
Data/genres_original/blues/blues.00023.wav,661794,blues,Data/melgram_numpy\blues.00023.npy
Data/genres_original/blues/blues.00024.wav,661794,blues,Data/melgram_numpy\blues.00024.npy
Data/genres_original/blues/blues.00025.wav,661794,blues,Data/melgram_numpy\blues.00025.npy
